user_id,place_id,review_text,timestamp
u0,p1,Really enjoyed the vibrant street markets in Bangkok but it was a bit chaotic for my taste.,2025-01-15 10:23:45
u0,p3,Cape Town's views are stunning but I found the city a bit underwhelming.,2024-11-20 14:56:12
u0,p5,Kyoto's temples and gardens were absolutely serene a must-visit!,2024-09-10 08:34:27
u0,p7,Bali was a tropical paradise but some areas felt too touristy.,2025-03-05 12:11:09
u0,p9,Queenstown's adventure activities were fun but I expected more variety.,2024-12-12 16:45:33
u0,p12,Barcelona's architecture is stunning but the crowds were intense.,2025-02-18 09:22:14
u0,p15,Venice's canals are magical truly a unique experience!,2024-10-30 11:57:48
u0,p18,Cairo's pyramids were incredible but the city felt a bit hectic.,2025-04-02 13:19:06
u0,p21,Phuket's beaches were relaxing but nightlife wasn't my thing.,2024-08-25 15:43:21
u0,p25,Hawaii's landscapes were breathtaking a perfect getaway!,2025-05-10 07:28:39
u1,p0,Paris is as romantic as they say loved every moment!,2025-06-12 09:15:22
u1,p6,New York's energy is unmatched but it's a bit overwhelming.,2024-07-18 14:32:56
u1,p10,Amsterdam's canals were charming but I found it a bit pricey.,2025-03-22 11:09:43
u1,p13,Dubai's luxury is incredible but it felt a bit artificial.,2024-09-05 16:27:18
u1,p16,Santorini's sunsets are unreal totally worth the hype!,2025-01-30 08:44:51
u1,p20,London's history is fascinating but the weather was dreary.,2024-11-12 12:36:04
u1,p22,Istanbul's cultural blend is unique but some areas felt crowded.,2025-02-25 10:51:29
u1,p24,Prague's medieval charm is amazing but I wished for more nightlife.,2024-10-15 15:13:37
u1,p27,Nairobi's safari access is great but the city was just okay.,2025-04-18 09:47:53
u1,p30,Edinburgh's castles are stunning a highlight of my trip!,2024-08-10 13:22:16
u2,p2,Rio's beaches and Carnival vibe were fun but safety was a concern.,2025-06-20 11:34:28
u2,p7,Bali's rice terraces were beautiful but too many tourists.,2024-12-05 14:08:42
u2,p14,Cancun's beaches are gorgeous but it's very commercialized.,2025-02-10 09:16:33
u2,p19,Machu Picchu was a bucket-list dream absolutely incredible!,2024-09-25 12:43:57
u2,p23,Singapore's cleanliness and gardens are impressive but it's pricey.,2025-03-15 16:29:11
u2,p26,Buenos Aires has great food and culture but felt a bit chaotic.,2024-11-30 08:55:24
u2,p28,Reykjavik's northern lights were magical a must-see!,2025-01-12 13:17:49
u2,p31,Chiang Mai's temples are serene but I expected more activities.,2024-10-20 10:33:05
u2,p34,Florence's art and history blew me away highly recommend!,2025-04-05 15:46:31
u2,p36,Maldives was pure paradise perfect for relaxation!,2024-08-15 09:12:47
u3,p4,Cape Town's scenery is nice but I wasn't impressed overall.,2025-06-01 11:28:53
u3,p8,Marrakech's souks were vibrant but navigation was tough.,2024-07-25 14:41:09
u3,p11,Tokyo's blend of modern and traditional is amazing!,2025-02-28 09:23:14
u3,p15,Venice's charm is undeniable but it's very crowded.,2024-12-15 12:56:38
u3,p17,Seoul's palaces and tech vibe were cool but food was the highlight!,2025-03-30 16:11:22
u3,p20,London's landmarks are iconic but it's a busy city.,2024-09-15 08:44:46
u3,p25,Hawaii's nature is stunning perfect for outdoor lovers!,2025-01-25 13:29:01
u3,p29,Agra's Taj Mahal is breathtaking but the city is hectic.,2024-11-10 10:52:17
u3,p32,Lisbon's charm and nightlife were great highly recommend!,2025-04-20 15:34:42
u3,p35,Cusco's Inca history is fascinating but altitude was tough.,2024-08-20 09:17:58
u4,p9,Queenstown's views are great but I wanted more adventure options.,2025-05-15 11:43:29
u4,p0,Paris was beautiful but the crowds were a bit much.,2024-10-05 14:26:53
u4,p12,Barcelona's Gaudi sites are amazing but it's touristy.,2025-02-15 09:31:08
u4,p16,Santorini's beauty is unreal a perfect romantic getaway!,2024-12-20 12:54:34
u4,p18,Cairo's history is incredible but the city is overwhelming.,2025-03-25 16:09:49
u4,p21,Phuket's beaches were nice but nightlife wasn't my vibe.,2024-09-10 08:42:13
u4,p24,Prague's castles and bridges are stunning loved it!,2025-01-20 13:27:38
u4,p27,Nairobi's safari access is cool but the city was average.,2024-11-25 10:50:54
u4,p30,Edinburgh's history and festivals were fantastic!,2025-04-15 15:33:19
u4,p33,Hanoi's culture is rich but the traffic was intense.,2024-08-25 09:16:35
u5,p1,Bangkok's markets and temples are vibrant but a bit crowded.,2025-06-05 11:39:50
u5,p5,Kyoto's serene temples were a highlight of my trip!,2024-07-30 14:23:06
u5,p10,Amsterdam's charm is real but it's quite expensive.,2025-03-20 09:28:21
u5,p13,Dubai's skyscrapers are impressive but it felt a bit soulless.,2024-12-10 12:51:47
u5,p17,Seoul's energy and food scene were fantastic!,2025-02-05 16:07:02
